Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,Event Log,
1097,1,9/15/2014 5:16:41 PM,Light,4544.914,20.85163,20.48718,0.364447,0.000151939,4162.04,0.06367305,0.4034045,0.3397314,0.0001391393,0.9157577,0.5407682,0.491497,0,0,251,66,42,0,0,0,9/15/2014 5:23:16 PM - opened the doors to check the food chambers,
1097,2,9/15/2014 5:41:41 PM,Light,4532.3,20.85163,20.49868,0.3529432,0.04567017,3966.015,0.07145392,0.3885933,0.3171394,0.04089468,0.8750558,0.5337969,0.5017338,-0.1221746,-0.1221746,2083,928,1123,292,0,0,,
1097,3,9/15/2014 6:07:41 PM,Light,4671.109,20.85163,20.47307,0.3785608,0.0936698,4459.844,0.06388154,0.4287736,0.3648921,0.08484519,0.9547719,0.5611874,0.4903353,-0.07171886,-0.1938934,4067,2221,1755,672,0,0,,
1097,4,9/15/2014 6:32:41 PM,Light,4015.23,20.85163,20.52733,0.3242991,0.1372172,3796.003,0.05859422,0.3687283,0.3101341,0.1262337,0.9454013,0.4812743,0.4910397,-0.3852031,-0.5790965,1666,869,798,260,0,0,,
1097,5,9/15/2014 6:58:41 PM,Light,5098.798,20.85163,20.43434,0.4172832,0.1847665,4906.6,0.05110106,0.4558441,0.404743,0.1716378,0.9623051,0.6137091,0.4863342,-0.1182226,-0.6973191,5909,3729,2525,1161,0,0,,
1097,6,9/15/2014 7:23:41 PM,Dark,5107.991,20.85163,20.43754,0.4140916,0.2359494,4767.057,0.04803625,0.4399571,0.3919208,0.2201448,0.9332548,0.6104152,0.4879684,-0.0338847,-0.7312038,4229,2309,2550,1028,0,0,,
1097,7,9/15/2014 7:49:41 PM,Dark,4617.89,20.85163,20.48104,0.3705817,0.2866633,4363.841,0.04528417,0.3995516,0.3542674,0.2677572,0.944986,0.5534536,0.4941674,-0.03278095,-0.7639847,3512,2124,2114,844,0,0,,
1097,8,9/15/2014 8:14:41 PM,Dark,5339.056,20.85163,20.42497,0.4266531,0.3366053,5211.758,0.04353285,0.4620988,0.4185659,0.3157891,0.9761572,0.6448205,0.4995165,-0.03517151,-0.7991562,5978,4035,2831,1405,0,0,,
1097,9,9/15/2014 8:40:41 PM,Dark,5235.474,20.85163,20.43089,0.4207371,0.3917515,5073.703,0.04290738,0.4532921,0.4103847,0.3694271,0.9691009,0.6312149,0.4959805,-0.1173884,-0.9165447,5073,3178,2555,1181,0,0,,
1097,10,9/15/2014 9:05:41 PM,Dark,5036.414,20.85163,20.44273,0.4088952,0.4432575,4888.924,0.04196917,0.4413331,0.3993639,0.4193825,0.9707153,0.6074563,0.4911055,0.06687421,-0.8496705,6846,4565,2889,1304,0,0,,
