Subject,Interval,Date/Time,Light/Dark,Volume O2,O2 In,O2 Out,Delta O2,Accumulated O2,Volume CO2,CO2 In,CO2 Out,Delta CO2,Accumulated CO2,RER,Heat,Flow,Feed Weight 1,Feed Acc. 1,X Total,X Ambulatory,Y Total,Y Ambulatory,Wheel,Wheel Accumulated,
1100,1,9/19/2014 3:57:06 PM,Light,5388,20.86589,20.41935,0.4465433,0.0001917979,4462.018,0.04652292,0.4301138,0.3835909,0.0001588354,0.8281398,0.6677237,0.4969381,0,0,576,398,427,280,0,0,
1100,2,9/19/2014 4:14:06 PM,Light,5234.446,20.86589,20.43568,0.4302184,0.03875829,4308.244,0.04823405,0.4159412,0.3677072,0.03200019,0.8230563,0.6478539,0.5005421,0.03155009,0.03155009,3480,2266,2095,1180,0,0,
1100,3,9/19/2014 4:31:06 PM,Light,4903.036,20.86589,20.45661,0.4092844,0.07556075,4418.503,0.04649812,0.4231205,0.3766224,0.06368825,0.901177,0.6189306,0.501174,0,0.03155009,3696,2347,2367,1382,0,0,
1100,4,9/19/2014 4:48:06 PM,Light,4581.479,20.86589,20.48642,0.379479,0.1099925,4066.11,0.04463819,0.3895427,0.3449045,0.0944889,0.8875102,0.5763621,0.5036191,0,0.03155009,1190,291,697,231,0,0,
1100,5,9/19/2014 5:05:06 PM,Light,3708.496,20.86589,20.56062,0.3052734,0.1400772,3202.466,0.04339824,0.3147613,0.271363,0.1208651,0.8635485,0.4637326,0.5041514,0,0.03155009,243,19,267,37,0,0,
1100,6,9/19/2014 5:22:06 PM,Light,4362.563,20.86589,20.50553,0.3603645,0.1693942,3729.824,0.04240628,0.3601434,0.3177371,0.1460451,0.8549616,0.5443382,0.5014746,0,0.03155009,1633,912,819,399,0,0,
1100,7,9/19/2014 5:39:06 PM,Light,4436.625,20.86589,20.49739,0.3684996,0.2013446,4030.792,0.04151351,0.3828346,0.3413211,0.1742286,0.9085266,0.5610832,0.5044786,0.07996114,0.1115112,1710,763,1265,633,0,0,
1100,8,9/19/2014 5:56:06 PM,Light,3810.798,20.86589,20.55301,0.3128899,0.2312792,3270.306,0.04135232,0.318072,0.2767196,0.2007247,0.8581683,0.4758776,0.5048652,0.1355998,0.247111,386,21,282,47,0,0,
1100,9,9/19/2014 6:13:06 PM,Light,4661.282,20.86589,20.48317,0.3827226,0.2620557,3983.834,0.04098034,0.3783335,0.3373532,0.2270766,0.854665,0.581567,0.5044801,0,0.247111,1014,363,498,252,0,0,
1100,10,9/19/2014 6:30:06 PM,Light,4958.558,20.86589,20.45579,0.4101015,0.2969898,4157.424,0.04079434,0.39666,0.3558656,0.2566399,0.8384342,0.6161155,0.4990796,0.00513202,0.252243,2287,1326,1325,706,0,0,
1100,11,9/19/2014 6:47:06 PM,Light,3747.705,20.86589,20.55534,0.3105579,0.32858,3175.163,0.04067035,0.3124674,0.271797,0.2832465,0.8472285,0.4667042,0.4990574,0,0.252243,1030,224,598,137,0,0,
1100,12,9/19/2014 7:04:06 PM,Dark,4937.924,20.86589,20.46383,0.4020647,0.360138,4110.368,0.04042236,0.3872612,0.3468388,0.3097163,0.8324081,0.6126121,0.506274,0.01128134,0.2635244,2429,1471,1581,855,0,0,
1100,13,9/19/2014 7:21:06 PM,Dark,5101.719,20.86589,20.44368,0.4222127,0.396594,4193.985,0.04037276,0.4008758,0.360503,0.3398702,0.8220729,0.6312681,0.4969963,-0.18455,0.07897437,3105,1763,2011,1051,0,0,
1100,14,9/19/2014 7:38:06 PM,Dark,5056.645,20.86589,20.44484,0.4210511,0.4334773,4376.451,0.04067035,0.4156312,0.3749608,0.3709919,0.8654851,0.6326224,0.4986099,-0.03788757,0.0410868,4204,2756,3514,2164,0,0,
1100,15,9/19/2014 7:55:06 PM,Dark,4924.648,20.86589,20.45881,0.4070793,0.4697163,4272.676,0.04060835,0.4038517,0.3632433,0.4023944,0.8676104,0.6164391,0.502489,-0.0471751,-0.006088298,3604,2332,2336,1413,0,0,
1100,16,9/19/2014 8:12:06 PM,Dark,4912.802,20.86589,20.45669,0.4092073,0.505435,4380.817,0.04054635,0.4138953,0.373349,0.4338164,0.8917145,0.6186956,0.5012552,-0.1221771,-0.1282654,4798,3295,3352,2158,0,0,
1100,17,9/19/2014 8:29:06 PM,Dark,4845.921,20.86589,20.45803,0.4078604,0.540867,4340.606,0.04042236,0.4138953,0.3734729,0.4654824,0.8957236,0.6108864,0.4964884,-0.04248047,-0.1707459,3633,2392,2575,1604,0,0,
1100,18,9/19/2014 8:46:06 PM,Dark,4955.164,20.86589,20.44755,0.4183473,0.5764558,4515.223,0.04048436,0.4288987,0.3884143,0.4976403,0.9112157,0.6270816,0.4965906,0.07514445,-0.09560143,3565,2457,2704,1625,0,0,
