Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,9/15/2014 5:24:23 PM,Light,3/16/1980 5:24:04 PM,3/16/1980 5:24:12 PM,8,0.04,0.04,
3,2,9/15/2014 6:14:57 PM,Light,3/16/1980 6:13:41 PM,3/16/1980 6:14:47 PM,66,0.10,0.13,
3,3,9/15/2014 6:23:36 PM,Light,3/16/1980 6:23:16 PM,3/16/1980 6:23:26 PM,10,0.04,0.18,
4,4,9/15/2014 6:55:36 PM,Light,3/16/1980 6:55:17 PM,3/16/1980 6:55:25 PM,8,-0.18,0.00,
5,5,9/15/2014 7:09:10 PM,Dark,3/16/1980 7:08:24 PM,3/16/1980 7:08:59 PM,35,-0.07,-0.07,
5,6,9/15/2014 7:14:11 PM,Dark,3/16/1980 7:13:56 PM,3/16/1980 7:14:01 PM,5,0.07,-0.01,
6,7,9/15/2014 7:30:14 PM,Dark,3/16/1980 7:29:55 PM,3/16/1980 7:30:03 PM,8,-0.05,-0.06,
7,8,9/15/2014 8:01:45 PM,Dark,3/16/1980 8:00:38 PM,3/16/1980 8:01:34 PM,56,0.15,0.09,
7,9,9/15/2014 8:02:16 PM,Dark,3/16/1980 8:01:52 PM,3/16/1980 8:02:06 PM,14,0.07,0.16,
8,10,9/15/2014 8:23:59 PM,Dark,3/16/1980 8:23:44 PM,3/16/1980 8:23:48 PM,4,0.14,0.30,
9,11,9/15/2014 8:46:21 PM,Dark,3/17/1980 8:46:05 PM,3/17/1980 8:46:10 PM,5,0.14,0.43,
10,12,9/15/2014 9:09:16 PM,Dark,3/17/1980 9:08:54 PM,3/17/1980 9:09:05 PM,11,0.16,0.59,
11,13,9/15/2014 9:52:47 PM,Dark,3/17/1980 9:52:28 PM,3/17/1980 9:52:36 PM,8,0.04,0.63,
12,14,9/15/2014 10:02:02 PM,Dark,3/17/1980 10:01:46 PM,3/17/1980 10:01:51 PM,5,-0.05,0.58,
12,15,9/15/2014 10:04:54 PM,Dark,3/17/1980 10:04:32 PM,3/17/1980 10:04:43 PM,11,0.42,1.01,
13,16,9/15/2014 10:38:34 PM,Dark,3/17/1980 10:37:54 PM,3/17/1980 10:38:23 PM,29,0.36,1.37,
14,17,9/15/2014 10:57:24 PM,Dark,3/17/1980 10:56:54 PM,3/17/1980 10:57:13 PM,19,-0.11,1.25,
14,18,9/15/2014 11:00:13 PM,Dark,3/17/1980 10:59:12 PM,3/17/1980 11:00:03 PM,51,-0.07,1.18,
14,19,9/15/2014 11:02:18 PM,Dark,3/17/1980 11:01:45 PM,3/17/1980 11:02:07 PM,22,-0.10,1.08,
15,20,9/15/2014 11:21:04 PM,Dark,3/17/1980 11:20:46 PM,3/17/1980 11:20:54 PM,8,-0.43,0.65,
15,21,9/15/2014 11:31:06 PM,Dark,3/17/1980 11:30:27 PM,3/17/1980 11:30:55 PM,28,0.28,0.93,
15,22,9/15/2014 11:33:31 PM,Dark,3/17/1980 11:33:06 PM,3/17/1980 11:33:20 PM,14,0.11,1.04,
15,23,9/15/2014 11:35:26 PM,Dark,3/17/1980 11:35:06 PM,3/17/1980 11:35:15 PM,9,-0.07,0.96,
16,24,9/15/2014 11:48:56 PM,Dark,3/17/1980 11:48:24 PM,3/17/1980 11:48:46 PM,22,0.05,1.01,
16,25,9/15/2014 11:54:37 PM,Dark,3/17/1980 11:54:21 PM,3/17/1980 11:54:26 PM,5,-0.03,0.98,
17,26,9/16/2014 12:10:04 AM,Dark,3/17/1980 12:09:34 AM,3/17/1980 12:09:54 AM,20,-0.04,0.94,
17,27,9/16/2014 12:12:24 AM,Dark,3/17/1980 12:11:13 AM,3/17/1980 12:12:14 AM,61,0.13,1.07,
17,28,9/16/2014 12:19:22 AM,Dark,3/17/1980 12:19:08 AM,3/17/1980 12:19:12 AM,4,-0.08,0.98,
17,29,9/16/2014 12:20:14 AM,Dark,3/17/1980 12:19:49 AM,3/17/1980 12:20:03 AM,14,0.09,1.08,
18,30,9/16/2014 12:31:31 AM,Dark,3/17/1980 12:31:01 AM,3/17/1980 12:31:20 AM,19,0.07,1.15,
18,31,9/16/2014 12:33:54 AM,Dark,3/17/1980 12:33:26 AM,3/17/1980 12:33:43 AM,17,-0.14,1.01,
18,32,9/16/2014 12:35:49 AM,Dark,3/17/1980 12:35:13 AM,3/17/1980 12:35:38 AM,25,0.09,1.10,
21,33,9/16/2014 1:45:02 AM,Dark,3/17/1980 1:44:37 AM,3/17/1980 1:44:51 AM,14,0.27,1.36,
21,34,9/16/2014 1:45:44 AM,Dark,3/17/1980 1:45:23 AM,3/17/1980 1:45:34 AM,11,-0.06,1.31,
21,35,9/16/2014 1:48:29 AM,Dark,3/17/1980 1:48:03 AM,3/17/1980 1:48:18 AM,15,0.04,1.35,
21,36,9/16/2014 1:49:09 AM,Dark,3/17/1980 1:48:51 AM,3/17/1980 1:48:59 AM,8,-0.06,1.29,
21,37,9/16/2014 1:52:03 AM,Dark,3/17/1980 1:51:47 AM,3/17/1980 1:51:53 AM,6,0.61,1.90,
21,38,9/16/2014 1:52:47 AM,Dark,3/17/1980 1:52:29 AM,3/17/1980 1:52:37 AM,8,-0.09,1.81,
21,39,9/16/2014 1:55:50 AM,Dark,3/17/1980 1:55:35 AM,3/17/1980 1:55:39 AM,4,-0.04,1.77,
21,40,9/16/2014 1:57:39 AM,Dark,3/17/1980 1:57:02 AM,3/17/1980 1:57:28 AM,26,0.09,1.86,
21,41,9/16/2014 2:00:35 AM,Dark,3/17/1980 1:59:32 AM,3/17/1980 2:00:25 AM,53,0.04,1.90,
21,42,9/16/2014 2:01:34 AM,Dark,3/17/1980 2:00:51 AM,3/17/1980 2:01:24 AM,33,0.07,1.96,
21,43,9/16/2014 2:02:30 AM,Dark,3/17/1980 2:01:52 AM,3/17/1980 2:02:19 AM,27,0.14,2.10,
21,44,9/16/2014 2:05:31 AM,Dark,3/17/1980 2:05:10 AM,3/17/1980 2:05:20 AM,10,0.39,2.49,
21,45,9/16/2014 2:06:43 AM,Dark,3/17/1980 2:05:51 AM,3/17/1980 2:06:32 AM,41,-0.13,2.36,
21,46,9/16/2014 2:08:18 AM,Dark,3/17/1980 2:07:05 AM,3/17/1980 2:08:07 AM,62,-0.15,2.21,
22,47,9/16/2014 2:25:27 AM,Dark,3/17/1980 2:24:40 AM,3/17/1980 2:25:16 AM,36,0.11,2.32,
23,48,9/16/2014 2:48:52 AM,Dark,3/17/1980 2:48:18 AM,3/17/1980 2:48:41 AM,23,-0.07,2.25,
25,49,9/16/2014 3:34:24 AM,Dark,3/17/1980 3:33:38 AM,3/17/1980 3:34:13 AM,35,0.09,2.34,
25,50,9/16/2014 3:37:16 AM,Dark,3/17/1980 3:36:17 AM,3/17/1980 3:37:05 AM,48,-0.03,2.31,
27,51,9/16/2014 4:27:20 AM,Dark,3/17/1980 4:26:56 AM,3/17/1980 4:27:09 AM,13,0.38,2.70,
27,52,9/16/2014 4:32:44 AM,Dark,3/17/1980 4:31:40 AM,3/17/1980 4:32:34 AM,54,0.19,2.89,
27,53,9/16/2014 4:35:58 AM,Dark,3/17/1980 4:34:54 AM,3/17/1980 4:35:48 AM,54,-0.20,2.69,
28,54,9/16/2014 4:54:35 AM,Dark,3/17/1980 4:53:48 AM,3/17/1980 4:54:24 AM,36,0.26,2.95,
32,55,9/16/2014 6:32:58 AM,Dark,3/17/1980 6:32:20 AM,3/17/1980 6:32:48 AM,28,-0.05,2.90,
32,56,9/16/2014 6:37:51 AM,Dark,3/17/1980 6:37:27 AM,3/17/1980 6:37:40 AM,13,0.27,3.17,
32,57,9/16/2014 6:43:12 AM,Dark,3/17/1980 6:42:42 AM,3/17/1980 6:43:02 AM,20,-0.29,2.88,
32,58,9/16/2014 6:48:56 AM,Dark,3/17/1980 6:48:39 AM,3/17/1980 6:48:45 AM,6,0.04,2.92,
33,59,9/16/2014 6:52:10 AM,Light,3/17/1980 6:51:52 AM,3/17/1980 6:51:59 AM,7,0.19,3.11,
33,60,9/16/2014 6:56:10 AM,Light,3/17/1980 6:55:42 AM,3/17/1980 6:55:59 AM,17,-0.03,3.08,
33,61,9/16/2014 7:02:04 AM,Light,3/17/1980 7:01:16 AM,3/17/1980 7:01:53 AM,37,0.09,3.17,
35,62,9/16/2014 8:03:58 AM,Light,3/17/1980 8:03:38 AM,3/17/1980 8:03:48 AM,10,0.09,3.27,
36,63,9/16/2014 8:08:40 AM,Light,3/17/1980 8:08:08 AM,3/17/1980 8:08:30 AM,22,0.23,3.49,
42,64,9/16/2014 10:40:53 AM,Light,3/17/1980 10:40:07 AM,3/17/1980 10:40:43 AM,36,0.09,3.58,
42,65,9/16/2014 10:47:20 AM,Light,3/17/1980 10:46:54 AM,3/17/1980 10:47:09 AM,15,0.21,3.79,
48,66,9/16/2014 1:29:03 PM,Light,3/17/1980 1:28:32 PM,3/17/1980 1:28:53 PM,21,0.03,3.82,
54,67,9/16/2014 4:10:34 PM,Light,3/17/1980 4:09:23 PM,3/17/1980 4:10:24 PM,61,-0.07,3.75,
55,68,9/16/2014 4:11:56 PM,Light,3/17/1980 4:11:38 PM,3/17/1980 4:11:45 PM,7,0.23,3.98,
58,69,9/16/2014 5:40:36 PM,Light,3/17/1980 5:40:03 PM,3/17/1980 5:40:26 PM,23,0.20,4.18,
58,70,9/16/2014 5:46:45 PM,Light,3/17/1980 5:46:13 PM,3/17/1980 5:46:35 PM,22,0.28,4.45,
59,71,9/16/2014 6:14:53 PM,Light,3/17/1980 6:14:34 PM,3/17/1980 6:14:43 PM,9,0.28,4.73,
60,72,9/16/2014 6:25:33 PM,Light,3/17/1980 6:24:47 PM,3/17/1980 6:25:22 PM,35,0.07,4.81,
