"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.fasting_time","experiment.time","Treatment","Weight","Start.Age","Week"
"3708",35,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-03-13","fed",6449,"22120",NA,NA,"Saline",22.12,69,-5
"3709",69,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-04-16","fed",7069,"30700",NA,NA,"Saline",30.7,69,0
"3710",76,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-04-23","fed",7131,"36500",NA,"16:00:00","Saline",36.5,69,1
"3711",84,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-05-01","fed",7381,"39400",NA,NA,"Saline",39.4,69,2
"3712",90,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-05-07","fed",7626,"41200",NA,NA,"Saline",41.2,69,3
"3713",97,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-05-14","fed",7795,"42700",NA,NA,"Saline",42.7,69,4
"3714",104,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-05-21","fed",7945,"44500",NA,NA,"Saline",44.5,69,5
"3715",104,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Total Fat Mass","2014-05-21","fed",8058,"17620",NA,NA,"Saline",17.62,69,5
"3716",104,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Lean Mass","2014-05-21","fed",8072,"25230",NA,NA,"Saline",25.23,69,5
"3717",111,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-05-28","fed",8228,"45000",NA,NA,"Saline",45,69,6
"3718",118,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-06-04","fed",8371,"45700",NA,NA,"Saline",45.7,69,7
"3719",125,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-06-11","fed",8513,"46800",NA,NA,"Saline",46.8,69,8
"3720",132,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-06-18","fed",8686,"47000",NA,NA,"Saline",47,69,9
"3721",139,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-06-25","fed",8923,"47000",NA,NA,"Saline",47,69,10
"3722",146,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-07-02","fed",9273,"47500",NA,NA,"Saline",47.5,69,11
"3723",146,FALSE,"C57BL/6J",143999,"Sacrificed","2014-07-10","M","+/+","291",154,6080,"C57BL/6J","Body Weight","2014-07-02","fed",9449,"46900",NA,NA,"Saline",46.9,69,11
